x	y	group
494.25	302.25	24924
494.25	302.75	24924
495.25	302.75	24924
495.75	303.25	24924
495.75	304.25	24924
496.25	304.75	24924
496.75	304.75	24924
496.75	302.75	24924
497.25	302.25	24924
497.75	302.25	24924
497.75	303.25	24924
498.25	303.75	24924
498.25	304.75	24924
499.25	305.75	24924
499.75	305.75	24924
500.25	305.25	24924
500.25	304.75	24924
499.75	304.25	24924
499.75	303.75	24924
500.25	303.25	24924
501.25	303.25	24924
501.25	302.25	24924
502.75	300.75	24924
502.75	300.25	24924
502.25	300.25	24924
501.25	301.25	24924
499.75	301.25	24924
499.75	300.75	24924
500.25	300.25	24924
501.25	300.25	24924
501.25	299.75	24924
500.75	299.25	24924
500.75	298.75	24924
501.25	298.75	24924
501.75	299.25	24924
504.25	299.25	24924
504.25	297.75	24924
503.25	296.75	24924
503.25	295.75	24924
502.25	295.75	24924
502.25	294.75	24924
500.25	292.75	24924
499.25	292.75	24924
498.25	291.75	24924
497.75	291.75	24924
497.75	292.25	24924
498.25	292.75	24924
498.25	293.25	24924
497.25	293.25	24924
497.25	294.25	24924
496.75	294.25	24924
496.25	293.75	24924
495.75	293.75	24924
494.75	294.75	24924
493.75	294.75	24924
493.75	295.75	24924
493.25	295.75	24924
492.75	295.25	24924
492.25	295.25	24924
492.25	295.75	24924
492.75	296.25	24924
492.75	296.75	24924
491.75	297.75	24924
491.75	298.25	24924
492.75	299.25	24924
492.75	300.25	24924
494.75	300.25	24924
495.25	300.75	24924
495.25	301.25	24924
494.25	301.25	24924
494.25	302.25	24924
