group	fill	colour
1	#FCF7F7	#FFFFFF
2	#BB7A73	#FAFAFA
3	#CF9D97	#FCFCFC
4	#EFDCDA	#FEFEFE
5	#DDB7B2	#FCFCFC
6	#EED9D6	#FEFEFE
7	#F2E2E0	#FEFEFE
8	#E1BFBA	#FBFBFB
9	#F7EDEC	#FEFEFE
10	#E8CDC9	#FEFEFE
11	#F5F4FA	#FFFFFF
12	#EBD4D0	#FDFDFD
13	#E3C2BE	#FCFCFC
14	#CC9791	#FCFCFC
15	#DFBBB7	#FCFCFC
16	#EFDCD9	#FEFEFE
17	#E4C4C0	#FDFDFD
18	#FBF6F5	#FFFFFF
19	#F7EDEC	#FEFEFE
20	#C68D86	#FBFBFB
21	#F4E5E3	#FEFEFE
22	#F1E0DD	#FEFEFE
23	#F8EFEE	#FEFEFE
24	#FFFFFF	#FFFFFF
25	#C68D87	#FBFBFB
26	#FCF7F6	#FFFFFF
27	#EDD6D3	#FEFEFE
28	#EEDAD7	#FDFDFD
29	#ECD4D1	#FDFDFD
30	#E9CECB	#FEFEFE
31	#EED8D6	#FEFEFE
32	#F4E5E3	#FEFEFE
33	#FDFBFB	#FFFFFF
34	#FFFEFE	#FFFFFF
35	#F0DDDA	#FEFEFE
36	#E3C3BF	#FDFDFD
37	#F0DCDA	#FEFEFE
38	#E2C0BC	#FDFDFD
39	#C28780	#FAFAFA
40	#E6C8C4	#FDFDFD
41	#E6C8C4	#FDFDFD
42	#FBF5F5	#FFFFFF
43	#F4E6E4	#FEFEFE
44	#F8EEED	#FEFEFE
45	#FCF9F9	#FFFFFF
46	#E6C8C4	#FDFDFD
47	#F1E0DE	#FEFEFE
48	#F7ECEA	#FEFEFE
49	#E9D0CC	#FDFDFD
50	#DEB9B4	#FCFCFC
51	#E5C7C3	#FBFBFB
52	#FAF9FC	#FFFFFF
53	#CF9D97	#FCFCFC
54	#EAD2CF	#FDFDFD
55	#E6C8C4	#FDFDFD
56	#DBB4AF	#FCFCFC
57	#E5C7C4	#FCFCFC
58	#ECD4D1	#FDFDFD
59	#E4C4C0	#FDFDFD
60	#FBF7F6	#FFFFFF
61	#F1E0DE	#FEFEFE
62	#FAF9FC	#FFFFFF
63	#ECD5D2	#FEFEFE
64	#E6C9C5	#FDFDFD
65	#F6EAE8	#FEFEFE
66	#E7CAC7	#FDFDFD
67	#FDFBFB	#FFFFFF
68	#EBD4D0	#FEFEFE
69	#EDD6D3	#FEFEFE
70	#F8EFED	#FEFEFE
71	#FDFBFA	#FFFFFF
72	#FDFBFA	#FFFFFF
73	#EED9D6	#FEFEFE
74	#F7EDEC	#FFFFFF
75	#F0DDDA	#FEFEFE
76	#F9F1F0	#FFFFFF
77	#E9CECB	#FDFDFD
78	#EFDCDA	#FEFEFE
79	#FBF5F4	#FFFFFF
80	#F3E4E3	#FEFEFE
81	#FDFAFA	#FFFFFF
82	#F3E5E3	#FEFEFE
83	#FCF7F7	#FFFFFF
84	#F7ECEA	#FEFEFE
85	#EFDBD9	#FDFDFD
86	#B6726B	#F8F8F8
87	#FCF7F6	#FFFFFF
88	#F4E5E3	#FEFEFE
89	#FEFDFC	#FFFFFF
90	#EAD1CD	#FDFDFD
91	#FEFCFC	#FFFFFF
92	#E2C0BC	#FDFDFD
93	#EFEDF6	#FEFEFE
94	#FFFFFF	#FFFFFF
95	#F4E5E3	#FEFEFE
96	#E6C8C5	#FDFDFD
97	#C9918B	#FBFBFB
98	#EDD7D4	#FEFEFE
99	#C38780	#FAFAFA
100	#E2C0BC	#FDFDFD
101	#ECD4D1	#FDFDFD
102	#F8EEED	#FEFEFE
103	#E0BDB9	#FDFDFD
104	#ECD5D2	#FEFEFE
105	#F6EAE8	#FEFEFE
106	#FFFEFE	#FFFFFF
107	#F6EAE8	#FEFEFE
108	#DCB5B0	#FCFCFC
109	#FBFAFD	#FFFFFF
110	#E5C7C3	#FDFDFD
111	#F6F5FA	#FFFFFF
112	#F5E7E5	#FEFEFE
113	#DEB9B4	#FCFCFC
114	#DFBBB6	#FBFBFB
115	#D4A5A0	#FCFCFC
116	#FBF6F6	#FFFFFF
117	#EED9D6	#FEFEFE
118	#F2F0F8	#FFFFFF
119	#EFECF6	#FEFEFE
120	#EEECF6	#FFFFFF
121	#F0DCDA	#FEFEFE
122	#F7EEEC	#FFFFFF
123	#F4E6E4	#FEFEFE
124	#F7EEEC	#FFFFFF
125	#F5E9E7	#FEFEFE
126	#E2C0BC	#FDFDFD
127	#EFDCD9	#FEFEFE
128	#FCF8F7	#FFFFFF
129	#EDD6D3	#FEFEFE
130	#F0DCDA	#FEFEFE
131	#ECD5D2	#FEFEFE
132	#F9F8FC	#FFFFFF
133	#F6E9E8	#FEFEFE
134	#DBB3AE	#FCFCFC
135	#DDB8B3	#FCFCFC
136	#F0EEF7	#FEFEFE
137	#EED8D6	#FEFEFE
138	#F8F7FB	#FFFFFF
139	#F3E4E2	#FEFEFE
140	#DCB5B0	#FCFCFC
141	#E6C8C4	#FDFDFD
142	#F7ECEA	#FEFEFE
143	#EED8D6	#FEFEFE
144	#FCF9F8	#FFFFFF
145	#EED9D7	#FEFEFE
146	#F2F1F8	#FEFEFE
147	#BC7D76	#FAFAFA
148	#DDB8B3	#FCFCFC
149	#E5C6C2	#FCFCFC
150	#EDD7D4	#FEFEFE
151	#E0BDB9	#FDFDFD
152	#F0DCDA	#FEFEFE
153	#F7EDEB	#FFFFFF
154	#ECD6D3	#FEFEFE
155	#E6C8C4	#FDFDFD
156	#F2E2E0	#FEFEFE
157	#EAD2CF	#FDFDFD
158	#C68D86	#FBFBFB
159	#E9D0CC	#FDFDFD
160	#F9F2F1	#FFFFFF
161	#EDD6D3	#FEFEFE
162	#F9F1F0	#FEFEFE
163	#EED9D6	#FEFEFE
164	#EAD2CE	#FDFDFD
165	#ECD5D2	#FEFEFE
166	#F4E6E4	#FEFEFE
167	#F1F0F8	#FFFFFF
168	#EBD2CF	#FDFDFD
169	#DEB9B5	#FCFCFC
170	#F8EEED	#FEFEFE
171	#F7ECEB	#FFFFFF
172	#F9F1F0	#FEFEFE
173	#F7EDEB	#FEFEFE
174	#F6EBE9	#FEFEFE
175	#E9CECB	#FDFDFD
176	#FCFCFE	#FFFFFF
177	#E7CBC8	#FDFDFD
178	#F8F7FB	#FFFFFF
179	#FFFEFE	#FFFFFF
180	#FEFDFD	#FFFFFF
181	#D9AFAA	#FDFDFD
182	#FBF5F5	#FFFFFF
183	#DBB3AE	#FCFCFC
184	#F4E5E3	#FEFEFE
185	#F7EDEB	#FFFFFF
186	#FCF7F6	#FFFFFF
187	#EFDCD9	#FEFEFE
188	#FCF8F7	#FFFFFF
189	#EBD4D1	#FDFDFD
190	#F2F0F8	#FEFEFE
191	#F7EDEC	#FEFEFE
192	#EFDCD9	#FEFEFE
193	#FCFBFD	#FFFFFF
194	#ECD4D1	#FDFDFD
195	#F9F2F0	#FFFFFF
196	#F1E0DE	#FEFEFE
197	#FFFEFE	#FFFFFF
198	#FAF4F3	#FFFFFF
199	#EFEDF6	#FEFEFE
200	#F7ECEB	#FFFFFF
201	#F7F6FB	#FFFFFF
202	#DCB6B1	#FCFCFC
203	#E1BEBA	#FDFDFD
204	#EBD2CF	#FDFDFD
205	#DDB7B2	#FCFCFC
206	#DDB7B2	#FCFCFC
207	#E4C4C0	#FDFDFD
208	#C8918B	#FBFBFB
209	#EBD3D0	#FDFDFD
210	#F8F7FB	#FFFFFF
211	#E9CECA	#FDFDFD
212	#E2C0BB	#FDFDFD
213	#FDFBFB	#FFFFFF
214	#F9F2F1	#FFFFFF
215	#EDEAF5	#FEFEFE
216	#EED9D7	#FEFEFE
217	#E0BDB9	#FDFDFD
218	#FBF6F5	#FFFFFF
219	#E7CCC8	#FDFDFD
220	#DFBBB7	#FCFCFC
221	#EAD1CE	#FDFDFD
222	#F1E0DE	#FEFEFE
223	#DDB7B2	#FCFCFC
224	#F9F2F1	#FFFFFF
225	#EFDBD9	#FDFDFD
226	#EEEBF6	#FEFEFE
227	#DAB0AB	#FBFBFB
228	#E2C0BC	#FBFBFB
229	#EDD6D3	#FEFEFE
230	#ECD5D2	#FEFEFE
231	#F7EDEB	#FFFFFF
232	#E2C0BC	#FDFDFD
233	#E9CECA	#FDFDFD
234	#FDFDFE	#FFFFFF
235	#F4E5E3	#FEFEFE
236	#EED9D6	#FEFEFE
237	#DDB7B2	#FCFCFC
