x	y	group
1269.25	181.25	24559
1269.25	181.75	24559
1269.75	182.25	24559
1270.25	182.25	24559
1270.25	181.25	24559
1270.75	180.75	24559
1270.75	180.25	24559
1269.75	179.25	24559
1268.75	179.25	24559
1268.75	178.75	24559
1269.75	177.75	24559
1270.75	177.75	24559
1271.75	176.75	24559
1272.25	176.75	24559
1272.25	177.25	24559
1271.25	178.25	24559
1271.25	178.75	24559
1271.75	179.25	24559
1272.25	179.25	24559
1272.75	178.75	24559
1272.75	177.75	24559
1273.25	177.75	24559
1274.25	178.75	24559
1274.75	178.75	24559
1275.75	177.75	24559
1275.75	176.75	24559
1278.25	176.75	24559
1278.25	177.25	24559
1277.75	177.75	24559
1277.75	179.25	24559
1278.25	179.75	24559
1278.75	179.75	24559
1278.75	178.75	24559
1279.75	177.75	24559
1280.75	177.75	24559
1281.25	177.25	24559
1281.75	177.25	24559
1281.75	177.75	24559
1281.25	178.25	24559
1281.25	178.75	24559
1281.75	178.75	24559
1282.75	177.75	24559
1282.75	177.25	24559
1282.25	176.75	24559
1282.25	174.75	24559
1281.25	174.75	24559
1279.25	172.75	24559
1279.25	171.75	24559
1278.25	171.75	24559
1277.75	171.25	24559
1277.75	170.75	24559
1278.75	170.75	24559
1278.75	170.25	24559
1277.75	169.25	24559
1277.75	168.25	24559
1277.25	167.75	24559
1276.75	167.75	24559
1275.75	168.75	24559
1274.75	168.75	24559
1274.75	169.75	24559
1272.25	172.25	24559
1272.25	173.25	24559
1271.75	173.25	24559
1271.25	172.75	24559
1270.75	172.75	24559
1270.75	173.75	24559
1269.75	174.75	24559
1268.25	174.75	24559
1268.25	174.25	24559
1269.25	173.25	24559
1269.25	172.75	24559
1268.25	172.75	24559
1268.25	171.75	24559
1267.25	170.75	24559
1266.75	170.75	24559
1266.75	171.25	24559
1267.25	171.75	24559
1267.25	172.25	24559
1265.25	172.25	24559
1265.25	172.75	24559
1265.75	173.25	24559
1266.75	173.25	24559
1267.25	173.75	24559
1267.25	174.25	24559
1266.25	174.25	24559
1264.75	175.75	24559
1264.75	176.25	24559
1265.75	176.25	24559
1267.25	177.75	24559
1267.25	178.75	24559
1268.75	180.25	24559
1269.75	180.25	24559
1269.75	180.75	24559
1269.25	181.25	24559
