group	fill	colour
1	#EDD7D4	#FEFEFE
2	#D2CCE7	#FCFCFC
3	#DDD8ED	#FEFEFE
4	#FEFDFD	#FFFFFF
5	#E6C8C4	#FDFDFD
6	#F5E7E6	#FEFEFE
7	#EAE7F4	#FEFEFE
8	#E8CECA	#FEFEFE
9	#E6C9C5	#FDFDFD
10	#E3C3BF	#FDFDFD
11	#F1DFDD	#FEFEFE
12	#EED9D7	#FEFEFE
13	#F8EEED	#FFFFFF
14	#F9F9FC	#FFFFFF
15	#E4E1F1	#FEFEFE
16	#FBFAFD	#FFFFFF
17	#F8EEED	#FFFFFF
18	#E8CDCA	#FEFEFE
19	#DEDAED	#FDFDFD
20	#D1CBE6	#FCFCFC
21	#D4CEE7	#FDFDFD
22	#F9F1F0	#FFFFFF
23	#FAF4F3	#FFFFFF
24	#DFDAED	#FDFDFD
25	#F4E6E4	#FEFEFE
26	#A79ECF	#FBFBFB
27	#F2F0F8	#FFFFFF
28	#FBF6F6	#FFFFFF
29	#DDD8ED	#FEFEFE
30	#EBD4D0	#FEFEFE
31	#F8EEED	#FFFFFF
32	#E9CECB	#FEFEFE
33	#FBFAFD	#FFFFFF
36	#F1EFF8	#FEFEFE
46	#F7EDEC	#FEFEFE
47	#F8EEED	#FFFFFF
48	#D3A59F	#FCFCFC
49	#F4E6E4	#FEFEFE
50	#EDD6D3	#FEFEFE
52	#E8CDCA	#FDFDFD
53	#FAF4F3	#FFFFFF
54	#EBD4D0	#FEFEFE
55	#D4CEE7	#FDFDFD
56	#F9F8FC	#FFFFFF
57	#F7EDEB	#FFFFFF
58	#EFDCDA	#FEFEFE
59	#F1E0DD	#FEFEFE
60	#EAE7F3	#FEFEFE
61	#E1BEB9	#FEFEFE
62	#F7EDEB	#FFFFFF
63	#F4E5E3	#FEFEFE
64	#EEECF6	#FFFFFF
65	#EFEDF6	#FEFEFE
66	#F9F1F0	#FFFFFF
67	#F7EDEC	#FFFFFF
68	#E9E5F3	#FEFEFE
69	#F2F0F8	#FEFEFE
70	#FBF6F5	#FFFFFF
71	#FEFDFD	#FFFFFF
72	#F1E0DD	#FEFEFE
73	#DED9ED	#FDFDFD
74	#D9AFAA	#FDFDFD
75	#DFBBB7	#FCFCFC
76	#C4BDDF	#FCFCFC
77	#ECE9F5	#FEFEFE
78	#DDD8ED	#FEFEFE
79	#F1E0DE	#FEFEFE
80	#FBF6F6	#FFFFFF
81	#E1BEB9	#FEFEFE
82	#F9F8FC	#FFFFFF
83	#E9CECA	#FEFEFE
86	#F8EEED	#FEFEFE
97	#F6F4FA	#FFFFFF
98	#F4E6E4	#FEFEFE
99	#D4A5A0	#FCFCFC
100	#FAF9FC	#FFFFFF
101	#E5E1F1	#FEFEFE
102	#FBFAFD	#FFFFFF
103	#FCF8F7	#FFFFFF
104	#ECE9F5	#FEFEFE
105	#F4E6E4	#FEFEFE
