x	y	group
2199.25	480.25	23015
2199.25	480.75	23015
2200.25	480.75	23015
2200.75	481.25	23015
2200.75	482.25	23015
2201.25	482.75	23015
2201.75	482.75	23015
2201.75	481.75	23015
2202.25	481.75	23015
2202.75	482.25	23015
2202.75	483.25	23015
2205.25	485.75	23015
2206.75	485.75	23015
2207.25	485.25	23015
2208.25	485.25	23015
2208.25	484.25	23015
2208.75	484.25	23015
2209.25	484.75	23015
2209.75	484.75	23015
2209.75	483.75	23015
2210.75	482.75	23015
2211.75	482.75	23015
2211.75	481.75	23015
2212.75	480.75	23015
2212.75	480.25	23015
2211.75	480.25	23015
2211.75	478.25	23015
2210.25	476.75	23015
2210.25	476.25	23015
2210.75	475.75	23015
2210.75	475.25	23015
2208.75	475.25	23015
2208.75	474.25	23015
2207.25	472.75	23015
2206.75	472.75	23015
2205.75	473.75	23015
2205.75	474.75	23015
2205.25	474.75	23015
2204.25	473.75	23015
2203.75	473.75	23015
2202.75	474.75	23015
2202.75	475.25	23015
2203.25	475.75	23015
2203.25	476.25	23015
2202.25	477.25	23015
2201.75	477.25	23015
2201.25	476.75	23015
2200.75	476.75	23015
2200.75	477.25	23015
2201.25	477.75	23015
2201.25	479.25	23015
2200.25	479.25	23015
2199.25	480.25	23015
