x	y	clickSelects	group	xmin	xmax	ymin	ymax
-1.5	0	logFC=-1.5 -log10(p)=0	44	-1.625	-1.375	-2.5	2.5
-1.25	35	logFC=-1.25 -log10(p)=35	33	-1.375	-1.125	32.5	37.5
-1	15	logFC=-1 -log10(p)=15	17	-1.125	-0.875	12.5	17.5
-0.75	10	logFC=-0.75 -log10(p)=10	8	-0.875	-0.625	7.5	12.5
-1.25	15	logFC=-1.25 -log10(p)=15	29	-1.375	-1.125	12.5	17.5
-1.25	20	logFC=-1.25 -log10(p)=20	30	-1.375	-1.125	17.5	22.5
-1.5	35	logFC=-1.5 -log10(p)=35	52	-1.625	-1.375	32.5	37.5
-1.5	30	logFC=-1.5 -log10(p)=30	51	-1.625	-1.375	27.5	32.5
-1.75	45	logFC=-1.75 -log10(p)=45	77	-1.875	-1.625	42.5	47.5
-0.5	5	logFC=-0.5 -log10(p)=5	6	-0.625	-0.375	2.5	7.5
-0.25	0	logFC=-0.25 -log10(p)=0	1	-0.375	-0.125	-2.5	2.5
0	0	logFC=0 -log10(p)=0	195	-0.125	0.125	-2.5	2.5
0.25	0	logFC=0.25 -log10(p)=0	196	0.125	0.375	-2.5	2.5
0.5	5	logFC=0.5 -log10(p)=5	200	0.375	0.625	2.5	7.5
0.5	0	logFC=0.5 -log10(p)=0	198	0.375	0.625	-2.5	2.5
1	10	logFC=1 -log10(p)=10	207	0.875	1.125	7.5	12.5
0.75	5	logFC=0.75 -log10(p)=5	205	0.625	0.875	2.5	7.5
1	15	logFC=1 -log10(p)=15	208	0.875	1.125	12.5	17.5
1.25	10	logFC=1.25 -log10(p)=10	214	1.125	1.375	7.5	12.5
0.75	0	logFC=0.75 -log10(p)=0	201	0.625	0.875	-2.5	2.5
1	5	logFC=1 -log10(p)=5	212	0.875	1.125	2.5	7.5
-0.5	0	logFC=-0.5 -log10(p)=0	3	-0.625	-0.375	-2.5	2.5
-0.75	0	logFC=-0.75 -log10(p)=0	7	-0.875	-0.625	-2.5	2.5
-1	0	logFC=-1 -log10(p)=0	15	-1.125	-0.875	-2.5	2.5
1.5	0	logFC=1.5 -log10(p)=0	224	1.375	1.625	-2.5	2.5
-1.25	0	logFC=-1.25 -log10(p)=0	27	-1.375	-1.125	-2.5	2.5
-2	0	logFC=-2 -log10(p)=0	88	-2.125	-1.875	-2.5	2.5
1.25	0	logFC=1.25 -log10(p)=0	213	1.125	1.375	-2.5	2.5
-2.75	0	logFC=-2.75 -log10(p)=0	128	-2.875	-2.625	-2.5	2.5
-1.75	0	logFC=-1.75 -log10(p)=0	66	-1.875	-1.625	-2.5	2.5
1	0	logFC=1 -log10(p)=0	206	0.875	1.125	-2.5	2.5
-4.25	0	logFC=-4.25 -log10(p)=0	167	-4.375	-4.125	-2.5	2.5
2.25	5	logFC=2.25 -log10(p)=5	272	2.125	2.375	2.5	7.5
1.75	0	logFC=1.75 -log10(p)=0	235	1.625	1.875	-2.5	2.5
-2.5	0	logFC=-2.5 -log10(p)=0	115	-2.625	-2.375	-2.5	2.5
2	0	logFC=2 -log10(p)=0	249	1.875	2.125	-2.5	2.5
-4	0	logFC=-4 -log10(p)=0	162	-4.125	-3.875	-2.5	2.5
1.75	5	logFC=1.75 -log10(p)=5	244	1.625	1.875	2.5	7.5
2	5	logFC=2 -log10(p)=5	258	1.875	2.125	2.5	7.5
-2.25	0	logFC=-2.25 -log10(p)=0	103	-2.375	-2.125	-2.5	2.5
-3.5	0	logFC=-3.5 -log10(p)=0	149	-3.625	-3.375	-2.5	2.5
-3	0	logFC=-3 -log10(p)=0	138	-3.125	-2.875	-2.5	2.5
3	0	logFC=3 -log10(p)=0	310	2.875	3.125	-2.5	2.5
-3.75	0	logFC=-3.75 -log10(p)=0	156	-3.875	-3.625	-2.5	2.5
-4.75	5	logFC=-4.75 -log10(p)=5	181	-4.875	-4.625	2.5	7.5
-3.25	0	logFC=-3.25 -log10(p)=0	144	-3.375	-3.125	-2.5	2.5
2.5	0	logFC=2.5 -log10(p)=0	280	2.375	2.625	-2.5	2.5
2.75	0	logFC=2.75 -log10(p)=0	295	2.625	2.875	-2.5	2.5
3.25	0	logFC=3.25 -log10(p)=0	329	3.125	3.375	-2.5	2.5
4	0	logFC=4 -log10(p)=0	364	3.875	4.125	-2.5	2.5
3.75	0	logFC=3.75 -log10(p)=0	358	3.625	3.875	-2.5	2.5
2.25	0	logFC=2.25 -log10(p)=0	263	2.125	2.375	-2.5	2.5
4.25	5	logFC=4.25 -log10(p)=5	371	4.125	4.375	2.5	7.5
5	5	logFC=5 -log10(p)=5	379	4.875	5.125	2.5	7.5
4.5	5	logFC=4.5 -log10(p)=5	373	4.375	4.625	2.5	7.5
4	5	logFC=4 -log10(p)=5	367	3.875	4.125	2.5	7.5
3	5	logFC=3 -log10(p)=5	320	2.875	3.125	2.5	7.5
3.5	5	logFC=3.5 -log10(p)=5	354	3.375	3.625	2.5	7.5
3.25	5	logFC=3.25 -log10(p)=5	338	3.125	3.375	2.5	7.5
3.75	5	logFC=3.75 -log10(p)=5	361	3.625	3.875	2.5	7.5
5.25	5	logFC=5.25 -log10(p)=5	382	5.125	5.375	2.5	7.5
4.75	5	logFC=4.75 -log10(p)=5	376	4.625	4.875	2.5	7.5
3.5	0	logFC=3.5 -log10(p)=0	345	3.375	3.625	-2.5	2.5
2.5	5	logFC=2.5 -log10(p)=5	289	2.375	2.625	2.5	7.5
-0.75	5	logFC=-0.75 -log10(p)=5	14	-0.875	-0.625	2.5	7.5
5.5	5	logFC=5.5 -log10(p)=5	384	5.375	5.625	2.5	7.5
-4.5	5	logFC=-4.5 -log10(p)=5	176	-4.625	-4.375	2.5	7.5
-4.5	0	logFC=-4.5 -log10(p)=0	172	-4.625	-4.375	-2.5	2.5
-1	5	logFC=-1 -log10(p)=5	24	-1.125	-0.875	2.5	7.5
-1.25	5	logFC=-1.25 -log10(p)=5	36	-1.375	-1.125	2.5	7.5
-1	30	logFC=-1 -log10(p)=30	20	-1.125	-0.875	27.5	32.5
-0.75	15	logFC=-0.75 -log10(p)=15	9	-0.875	-0.625	12.5	17.5
1.25	5	logFC=1.25 -log10(p)=5	222	1.125	1.375	2.5	7.5
-3	5	logFC=-3 -log10(p)=5	143	-3.125	-2.875	2.5	7.5
-5	5	logFC=-5 -log10(p)=5	184	-5.125	-4.875	2.5	7.5
2.75	5	logFC=2.75 -log10(p)=5	304	2.625	2.875	2.5	7.5
-0.5	10	logFC=-0.5 -log10(p)=10	4	-0.625	-0.375	7.5	12.5
-0.25	5	logFC=-0.25 -log10(p)=5	2	-0.375	-0.125	2.5	7.5
-1	10	logFC=-1 -log10(p)=10	16	-1.125	-0.875	7.5	12.5
-2.25	5	logFC=-2.25 -log10(p)=5	112	-2.375	-2.125	2.5	7.5
4	10	logFC=4 -log10(p)=10	365	3.875	4.125	7.5	12.5
5.75	5	logFC=5.75 -log10(p)=5	386	5.625	5.875	2.5	7.5
6.25	10	logFC=6.25 -log10(p)=10	388	6.125	6.375	7.5	12.5
6	10	logFC=6 -log10(p)=10	387	5.875	6.125	7.5	12.5
-2	10	logFC=-2 -log10(p)=10	89	-2.125	-1.875	7.5	12.5
-1.25	10	logFC=-1.25 -log10(p)=10	28	-1.375	-1.125	7.5	12.5
0.25	5	logFC=0.25 -log10(p)=5	197	0.125	0.375	2.5	7.5
-2	5	logFC=-2 -log10(p)=5	98	-2.125	-1.875	2.5	7.5
-1.5	5	logFC=-1.5 -log10(p)=5	55	-1.625	-1.375	2.5	7.5
-1.5	10	logFC=-1.5 -log10(p)=10	45	-1.625	-1.375	7.5	12.5
-0.75	25	logFC=-0.75 -log10(p)=25	11	-0.875	-0.625	22.5	27.5
-1.5	25	logFC=-1.5 -log10(p)=25	50	-1.625	-1.375	22.5	27.5
-3.25	5	logFC=-3.25 -log10(p)=5	148	-3.375	-3.125	2.5	7.5
5	10	logFC=5 -log10(p)=10	377	4.875	5.125	7.5	12.5
4.75	10	logFC=4.75 -log10(p)=10	374	4.625	4.875	7.5	12.5
4.25	10	logFC=4.25 -log10(p)=10	368	4.125	4.375	7.5	12.5
-1.5	15	logFC=-1.5 -log10(p)=15	48	-1.625	-1.375	12.5	17.5
-1.5	20	logFC=-1.5 -log10(p)=20	49	-1.625	-1.375	17.5	22.5
1.5	5	logFC=1.5 -log10(p)=5	233	1.375	1.625	2.5	7.5
-1.75	5	logFC=-1.75 -log10(p)=5	78	-1.875	-1.625	2.5	7.5
-1	20	logFC=-1 -log10(p)=20	18	-1.125	-0.875	17.5	22.5
-1.75	35	logFC=-1.75 -log10(p)=35	75	-1.875	-1.625	32.5	37.5
-1.75	30	logFC=-1.75 -log10(p)=30	74	-1.875	-1.625	27.5	32.5
4.5	10	logFC=4.5 -log10(p)=10	372	4.375	4.625	7.5	12.5
5.25	10	logFC=5.25 -log10(p)=10	380	5.125	5.375	7.5	12.5
-1.75	20	logFC=-1.75 -log10(p)=20	72	-1.875	-1.625	17.5	22.5
-1.25	25	logFC=-1.25 -log10(p)=25	31	-1.375	-1.125	22.5	27.5
-2.5	5	logFC=-2.5 -log10(p)=5	123	-2.625	-2.375	2.5	7.5
3.5	10	logFC=3.5 -log10(p)=10	346	3.375	3.625	7.5	12.5
-2.75	5	logFC=-2.75 -log10(p)=5	135	-2.875	-2.625	2.5	7.5
-1.25	30	logFC=-1.25 -log10(p)=30	32	-1.375	-1.125	27.5	32.5
3.25	10	logFC=3.25 -log10(p)=10	330	3.125	3.375	7.5	12.5
6.5	15	logFC=6.5 -log10(p)=15	390	6.375	6.625	12.5	17.5
5.75	10	logFC=5.75 -log10(p)=10	385	5.625	5.875	7.5	12.5
-1	40	logFC=-1 -log10(p)=40	22	-1.125	-0.875	37.5	42.5
-6	5	logFC=-6 -log10(p)=5	191	-6.125	-5.875	2.5	7.5
3.75	10	logFC=3.75 -log10(p)=10	359	3.625	3.875	7.5	12.5
-1	35	logFC=-1 -log10(p)=35	21	-1.125	-0.875	32.5	37.5
-5.25	5	logFC=-5.25 -log10(p)=5	186	-5.375	-5.125	2.5	7.5
-3.5	5	logFC=-3.5 -log10(p)=5	155	-3.625	-3.375	2.5	7.5
-1.25	50	logFC=-1.25 -log10(p)=50	37	-1.375	-1.125	47.5	52.5
-5.5	5	logFC=-5.5 -log10(p)=5	187	-5.625	-5.375	2.5	7.5
-2	15	logFC=-2 -log10(p)=15	91	-2.125	-1.875	12.5	17.5
-3.75	5	logFC=-3.75 -log10(p)=5	161	-3.875	-3.625	2.5	7.5
2.75	10	logFC=2.75 -log10(p)=10	296	2.625	2.875	7.5	12.5
-4	5	logFC=-4 -log10(p)=5	166	-4.125	-3.875	2.5	7.5
-0.75	20	logFC=-0.75 -log10(p)=20	10	-0.875	-0.625	17.5	22.5
-1.5	50	logFC=-1.5 -log10(p)=50	56	-1.625	-1.375	47.5	52.5
-1.5	65	logFC=-1.5 -log10(p)=65	59	-1.625	-1.375	62.5	67.5
-2.25	15	logFC=-2.25 -log10(p)=15	105	-2.375	-2.125	12.5	17.5
-2.5	20	logFC=-2.5 -log10(p)=20	118	-2.625	-2.375	17.5	22.5
-2.75	20	logFC=-2.75 -log10(p)=20	131	-2.875	-2.625	17.5	22.5
-4.5	15	logFC=-4.5 -log10(p)=15	174	-4.625	-4.375	12.5	17.5
-3	10	logFC=-3 -log10(p)=10	139	-3.125	-2.875	7.5	12.5
3	10	logFC=3 -log10(p)=10	311	2.875	3.125	7.5	12.5
-1.5	45	logFC=-1.5 -log10(p)=45	54	-1.625	-1.375	42.5	47.5
-1.5	55	logFC=-1.5 -log10(p)=55	57	-1.625	-1.375	52.5	57.5
-1.25	45	logFC=-1.25 -log10(p)=45	35	-1.375	-1.125	42.5	47.5
-1.25	60	logFC=-1.25 -log10(p)=60	39	-1.375	-1.125	57.5	62.5
-1.25	55	logFC=-1.25 -log10(p)=55	38	-1.375	-1.125	52.5	57.5
-5.75	5	logFC=-5.75 -log10(p)=5	189	-5.875	-5.625	2.5	7.5
-1.25	70	logFC=-1.25 -log10(p)=70	41	-1.375	-1.125	67.5	72.5
-1.5	95	logFC=-1.5 -log10(p)=95	65	-1.625	-1.375	92.5	97.5
