x	y	group
2173.75	209.75	54596
2173.75	210.25	54596
2174.25	210.25	54596
2175.75	208.75	54596
2175.75	207.75	54596
2176.75	207.75	54596
2176.75	207.25	54596
2176.25	206.75	54596
2176.25	206.25	54596
2176.75	205.75	54596
2176.75	205.25	54596
2176.25	204.75	54596
2176.25	204.25	54596
2176.75	203.75	54596
2177.25	203.75	54596
2177.75	204.25	54596
2177.75	205.75	54596
2177.25	206.25	54596
2177.25	206.75	54596
2177.75	206.75	54596
2179.25	205.25	54596
2179.75	205.25	54596
2179.75	206.75	54596
2179.25	207.25	54596
2179.25	207.75	54596
2183.75	207.75	54596
2184.25	207.25	54596
2184.75	207.25	54596
2184.75	207.75	54596
2184.25	208.25	54596
2184.25	209.75	54596
2184.75	210.25	54596
2184.75	211.25	54596
2186.75	211.25	54596
2186.75	212.25	54596
2187.25	212.25	54596
2187.75	211.75	54596
2188.75	211.75	54596
2189.25	211.25	54596
2190.75	211.25	54596
2190.75	211.75	54596
2190.25	212.25	54596
2189.25	212.25	54596
2189.25	212.75	54596
2189.75	213.25	54596
2190.75	213.25	54596
2191.25	213.75	54596
2191.25	214.25	54596
2190.25	214.25	54596
2190.25	214.75	54596
2190.75	215.25	54596
2191.75	215.25	54596
2191.75	215.75	54596
2191.25	216.25	54596
2191.25	216.75	54596
2191.75	217.25	54596
2192.75	217.25	54596
2192.75	218.25	54596
2193.25	218.75	54596
2193.25	219.25	54596
2192.75	219.75	54596
2192.25	219.75	54596
2191.25	218.75	54596
2190.75	218.75	54596
2190.75	219.75	54596
2189.75	219.75	54596
2189.75	220.25	54596
2190.25	220.75	54596
2190.75	220.75	54596
2191.25	220.25	54596
2191.75	220.25	54596
2192.25	220.75	54596
2192.75	220.75	54596
2193.25	220.25	54596
2193.75	220.25	54596
2194.25	220.75	54596
2195.25	220.75	54596
2195.25	221.25	54596
2193.75	222.75	54596
2193.75	223.25	54596
2194.75	223.25	54596
2194.75	224.25	54596
2195.75	224.25	54596
2195.75	225.25	54596
2198.75	225.25	54596
2198.75	226.25	54596
2199.75	227.25	54596
2200.25	227.25	54596
2200.75	226.75	54596
2201.25	226.75	54596
2201.25	227.75	54596
2201.75	227.75	54596
2202.25	227.25	54596
2202.25	226.25	54596
2202.75	226.25	54596
2203.25	226.75	54596
2203.75	226.75	54596
2203.75	226.25	54596
2202.25	224.75	54596
2202.25	224.25	54596
2203.25	223.25	54596
2203.25	221.75	54596
2202.25	220.75	54596
2202.25	219.75	54596
2201.75	219.25	54596
2201.75	218.25	54596
2201.25	217.75	54596
2200.25	217.75	54596
2200.25	216.25	54596
2201.25	215.25	54596
2201.25	213.75	54596
2200.25	212.75	54596
2200.25	211.25	54596
2200.75	210.75	54596
2200.75	210.25	54596
2200.25	209.75	54596
2199.75	209.75	54596
2199.75	210.75	54596
2198.25	212.25	54596
2197.25	212.25	54596
2196.75	212.75	54596
2196.25	212.75	54596
2196.25	211.75	54596
2195.75	211.25	54596
2195.75	210.75	54596
2196.25	210.25	54596
2196.75	210.25	54596
2196.75	211.25	54596
2197.25	211.25	54596
2197.75	210.75	54596
2198.75	210.75	54596
2198.75	210.25	54596
2197.25	208.75	54596
2197.25	208.25	54596
2198.75	206.75	54596
2199.75	206.75	54596
2199.75	206.25	54596
2199.25	205.75	54596
2199.25	205.25	54596
2200.75	205.25	54596
2201.25	205.75	54596
2201.25	206.25	54596
2200.75	206.75	54596
2200.75	207.25	54596
2201.25	207.25	54596
2201.75	206.75	54596
2202.25	206.75	54596
