group	fill	colour
1	#F6F4FA	#FFFFFF
2	#F3F1F8	#FFFFFF
3	#CBC4E3	#FCFCFC
4	#E2DEEF	#FCFCFC
5	#C5BEDF	#FAFAFA
6	#EFEDF6	#FEFEFE
7	#CBC5E3	#FDFDFD
8	#D9D4EA	#FCFCFC
9	#F2E2E0	#FEFEFE
10	#CCC5E3	#F9F9F9
11	#EBE8F4	#FEFEFE
12	#CBC4E3	#FBFBFB
13	#E4E1F1	#FEFEFE
14	#EDEAF5	#FEFEFE
15	#DCD7EC	#FEFEFE
16	#FBFBFD	#FFFFFF
17	#C6BFE0	#FAFAFA
18	#E3DFF0	#FDFDFD
19	#D5CFE8	#FCFCFC
20	#C2BBDE	#FAFAFA
21	#C4BCDF	#F8F8F8
22	#BDB5DB	#F8F8F8
23	#D6D0E9	#FBFBFB
24	#E4E0F0	#FDFDFD
25	#DDD8EC	#FDFDFD
26	#D8D3EA	#FCFCFC
27	#E1DDEF	#FDFDFD
28	#F7ECEA	#FEFEFE
29	#FEFCFC	#FFFFFF
30	#D4CEE7	#FCFCFC
31	#F9F1F0	#FFFFFF
32	#EAE7F4	#FEFEFE
33	#EFEDF7	#FEFEFE
34	#DDD9ED	#FEFEFE
35	#E3DFF0	#FEFEFE
36	#F8EEED	#FFFFFF
37	#E1DDEF	#FDFDFD
38	#D7D1E9	#FDFDFD
39	#D4CEE7	#FCFCFC
40	#CEC8E5	#FBFBFB
41	#ACA3D2	#FAFAFA
42	#9A90C8	#FAFAFA
43	#BDB5DB	#FBFBFB
44	#F6F5FA	#FFFFFF
45	#BFB7DC	#F6F6F6
46	#D2CCE7	#FDFDFD
47	#DDD8EC	#FDFDFD
48	#D8D3EA	#FDFDFD
49	#D3CDE7	#FCFCFC
50	#DBD6EC	#FBFBFB
51	#FAF9FC	#FFFFFF
52	#F0EEF7	#FEFEFE
53	#E0BCB7	#FCFCFC
54	#968CC6	#F5F5F5
55	#E5E1F1	#FDFDFD
56	#C5BEE0	#FAFAFA
57	#E1DDEF	#FDFDFD
58	#E5E1F1	#FDFDFD
59	#C5BEE0	#FAFAFA
60	#E0DCEE	#FCFCFC
61	#DDD9ED	#FCFCFC
62	#E7E4F2	#FDFDFD
63	#E9E6F3	#FEFEFE
64	#F9F0EF	#FFFFFF
65	#EDEAF5	#FEFEFE
66	#DBD6EB	#FBFBFB
67	#D4CEE7	#FCFCFC
68	#BFB8DC	#F9F9F9
69	#F5F3F9	#FEFEFE
70	#DDD9ED	#FDFDFD
71	#DDD8EC	#FDFDFD
72	#DED9ED	#FDFDFD
73	#C1B9DD	#FBFBFB
74	#DAD5EB	#FCFCFC
75	#E1DDEF	#FDFDFD
76	#F2F1F8	#FFFFFF
77	#DED9ED	#FDFDFD
78	#F2F0F8	#FEFEFE
79	#D9D4EA	#FCFCFC
80	#E9E5F3	#FEFEFE
81	#FAF3F2	#FFFFFF
82	#F6F5FA	#FFFFFF
83	#D9D4EB	#FCFCFC
84	#D7D2E9	#FDFDFD
85	#CAC3E2	#F9F9F9
86	#C6BFE0	#FAFAFA
87	#DAD5EB	#FCFCFC
88	#F6F5FA	#FFFFFF
89	#F2F0F8	#FEFEFE
90	#EBE8F4	#FEFEFE
91	#C6BEE0	#FAFAFA
92	#AEA5D3	#FCFCFC
93	#DDD8ED	#FDFDFD
94	#BEB7DC	#FAFAFA
95	#D2CCE7	#FCFCFC
96	#E2DEEF	#FDFDFD
97	#F6F4FA	#FFFFFF
98	#E2DEEF	#FDFDFD
99	#DDD9ED	#FDFDFD
100	#D6D1E9	#FBFBFB
101	#CCC5E3	#F9F9F9
102	#F2F0F8	#FFFFFF
103	#F6EAE9	#FEFEFE
104	#F5F3FA	#FFFFFF
105	#B7AED8	#FBFBFB
106	#F4F2F9	#FEFEFE
107	#CBC5E3	#FCFCFC
108	#DDD9ED	#FDFDFD
109	#CEC8E4	#FAFAFA
110	#F3F1F8	#FFFFFF
111	#F3F1F8	#FFFFFF
112	#EAE7F4	#FEFEFE
113	#E0DCEE	#FCFCFC
114	#D0CAE5	#FBFBFB
