x	y	clickSelects	group	xmin	xmax	ymin	ymax
80	24	100,0	1	55	105	-1	49
130	24	150,0	237	105	155	-1	49
130	74	150,50	238	105	155	49	99
180	74	200,50	576	155	205	49	99
180	124	200,100	575	155	205	99	149
230	124	250,100	923	205	255	99	149
230	174	250,150	924	205	255	149	199
280	174	300,150	1173	255	305	149	199
280	224	300,200	1174	255	305	199	249
330	224	350,200	1324	305	355	199	249
330	274	350,250	1325	305	355	249	299
380	274	400,250	1376	355	405	249	299
380	324	400,300	1377	355	405	299	349
430	324	450,300	1384	405	455	299	349
430	374	450,350	1385	405	455	349	399
480	374	500,350	1393	455	505	349	399
480	424	500,400	1394	455	505	399	449
530	424	550,400	1403	505	555	399	449
530	474	550,450	1404	505	555	449	499
580	474	600,450	1414	555	605	449	499
580	524	600,500	1416	555	605	499	549
630	524	650,500	1427	605	655	499	549
630	574	650,550	1428	605	655	549	599
680	574	700,550	1440	655	705	549	599
680	624	700,600	1441	655	705	599	649
730	624	750,600	1454	705	755	599	649
730	674	750,650	1455	705	755	649	699
780	674	800,650	1469	755	805	649	699
780	724	800,700	1470	755	805	699	749
830	724	850,700	1485	805	855	699	749
830	774	850,750	1486	805	855	749	799
880	774	900,750	1502	855	905	749	799
880	824	900,800	1503	855	905	799	849
930	824	950,800	1520	905	955	799	849
930	874	950,850	1521	905	955	849	899
980	874	1000,850	19	955	1005	849	899
980	924	1000,900	20	955	1005	899	949
1030	924	1050,900	39	1005	1055	899	949
1030	974	1050,950	40	1005	1055	949	999
1080	974	1100,950	61	1055	1105	949	999
1080	1024	1100,1000	43	1055	1105	999	1049
1130	1024	1150,1000	64	1105	1155	999	1049
1130	1074	1150,1050	65	1105	1155	1049	1099
1180	1074	1200,1050	87	1155	1205	1049	1099
1180	1124	1200,1100	88	1155	1205	1099	1149
1230	1124	1250,1100	111	1205	1255	1099	1149
1230	1174	1250,1150	112	1205	1255	1149	1199
1280	1174	1300,1150	136	1255	1305	1149	1199
1280	1224	1300,1200	137	1255	1305	1199	1249
1330	1224	1350,1200	162	1305	1355	1199	1249
1330	1274	1350,1250	163	1305	1355	1249	1299
1380	1274	1400,1250	189	1355	1405	1249	1299
1380	1324	1400,1300	190	1355	1405	1299	1349
1430	1324	1450,1300	217	1405	1455	1299	1349
1430	1374	1450,1350	218	1405	1455	1349	1399
1480	1374	1500,1350	248	1455	1505	1349	1399
1480	1424	1500,1400	249	1455	1505	1399	1449
1530	1424	1550,1400	278	1505	1555	1399	1449
1530	1474	1550,1450	279	1505	1555	1449	1499
1580	1474	1600,1450	309	1555	1605	1449	1499
1580	1524	1600,1500	311	1555	1605	1499	1549
1630	1524	1650,1500	342	1605	1655	1499	1549
1630	1574	1650,1550	343	1605	1655	1549	1599
1680	1574	1700,1550	375	1655	1705	1549	1599
1680	1624	1700,1600	376	1655	1705	1599	1649
1730	1624	1750,1600	409	1705	1755	1599	1649
1730	1674	1750,1650	410	1705	1755	1649	1699
1780	1674	1800,1650	444	1755	1805	1649	1699
1780	1724	1800,1700	445	1755	1805	1699	1749
1830	1724	1850,1700	480	1805	1855	1699	1749
1830	1774	1850,1750	481	1805	1855	1749	1799
1880	1774	1900,1750	517	1855	1905	1749	1799
1880	1824	1900,1800	518	1855	1905	1799	1849
1930	1824	1950,1800	555	1905	1955	1799	1849
1930	1874	1950,1850	556	1905	1955	1849	1899
1980	1874	2000,1850	597	1955	2005	1849	1899
1980	1924	2000,1900	598	1955	2005	1899	1949
180	24	200,0	574	155	205	-1	49
280	124	300,100	1172	255	305	99	149
380	224	400,200	1375	355	405	199	249
480	324	500,300	1392	455	505	299	349
580	424	600,400	1413	555	605	399	449
680	524	700,500	1439	655	705	499	549
780	624	800,600	1468	755	805	599	649
880	724	900,700	1501	855	905	699	749
980	824	1000,800	18	955	1005	799	849
1080	924	1100,900	60	1055	1105	899	949
1180	1024	1200,1000	86	1155	1205	999	1049
1280	1124	1300,1100	135	1255	1305	1099	1149
1380	1224	1400,1200	188	1355	1405	1199	1249
1480	1324	1500,1300	247	1455	1505	1299	1349
1580	1424	1600,1400	308	1555	1605	1399	1449
1680	1524	1700,1500	374	1655	1705	1499	1549
1780	1624	1800,1600	443	1755	1805	1599	1649
1880	1724	1900,1700	516	1855	1905	1699	1749
1980	1824	2000,1800	596	1955	2005	1799	1849
230	74	250,50	925	205	255	49	99
330	174	350,150	1323	305	355	149	199
430	274	450,250	1383	405	455	249	299
530	374	550,350	1402	505	555	349	399
630	474	650,450	1425	605	655	449	499
730	574	750,550	1453	705	755	549	599
830	674	850,650	1484	805	855	649	699
930	774	950,750	1519	905	955	749	799
1030	874	1050,850	38	1005	1055	849	899
1130	974	1150,950	83	1105	1155	949	999
1230	1074	1250,1050	110	1205	1255	1049	1099
1330	1174	1350,1150	161	1305	1355	1149	1199
1430	1274	1450,1250	216	1405	1455	1249	1299
1530	1374	1550,1350	277	1505	1555	1349	1399
1730	1574	1750,1550	408	1705	1755	1549	1599
1830	1674	1850,1650	479	1805	1855	1649	1699
1930	1774	1950,1750	554	1905	1955	1749	1799
1630	1474	1650,1450	340	1605	1655	1449	1499
2030	1874	2050,1850	636	2005	2055	1849	1899
230	24	250,0	922	205	255	-1	49
280	74	300,50	1175	255	305	49	99
330	124	350,100	1322	305	355	99	149
380	174	400,150	1374	355	405	149	199
430	224	450,200	1382	405	455	199	249
480	274	500,250	1391	455	505	249	299
530	324	550,300	1401	505	555	299	349
580	374	600,350	1412	555	605	349	399
630	424	650,400	1424	605	655	399	449
680	474	700,450	1437	655	705	449	499
730	524	750,500	1452	705	755	499	549
780	574	800,550	1467	755	805	549	599
830	624	850,600	1483	805	855	599	649
880	674	900,650	1500	855	905	649	699
930	724	950,700	1518	905	955	699	749
980	774	1000,750	17	955	1005	749	799
1030	824	1050,800	37	1005	1055	799	849
1080	874	1100,850	59	1055	1105	849	899
1130	924	1150,900	82	1105	1155	899	949
1180	974	1200,950	106	1155	1205	949	999
1230	1024	1250,1000	109	1205	1255	999	1049
1280	1074	1300,1050	134	1255	1305	1049	1099
1330	1124	1350,1100	160	1305	1355	1099	1149
1380	1174	1400,1150	187	1355	1405	1149	1199
1430	1224	1450,1200	215	1405	1455	1199	1249
