fill	x	y	group	xmin	xmax	ymin	ymax
#848484	-1.5	0	-1	-1.625	-1.375	-2.5	2.5
#A4A4A4	-1.25	35	-1	-1.375	-1.125	32.5	37.5
#505050	-1	15	-1	-1.125	-0.875	12.5	17.5
#383838	-0.75	10	-1	-0.875	-0.625	7.5	12.5
#7C7C7C	-1.25	15	-1	-1.375	-1.125	12.5	17.5
#6E6E6E	-1.25	20	-1	-1.375	-1.125	17.5	22.5
#C1C1C1	-1.5	35	-1	-1.625	-1.375	32.5	37.5
#9E9E9E	-1.5	30	-1	-1.625	-1.375	27.5	32.5
#FFFFFF	-1.75	45	-1	-1.875	-1.625	42.5	47.5
#2B2B2B	-0.5	5	-1	-0.625	-0.375	2.5	7.5
#000000	-0.25	0	-1	-0.375	-0.125	-2.5	2.5
#0A0A0A	0	0	-1	-0.125	0.125	-2.5	2.5
#171717	0.25	0	-1	0.125	0.375	-2.5	2.5
#6C6C6C	0.5	5	-1	0.375	0.625	2.5	7.5
#292929	0.5	0	-1	0.375	0.625	-2.5	2.5
#A8A8A8	1	10	-1	0.875	1.125	7.5	12.5
#545454	0.75	5	-1	0.625	0.875	2.5	7.5
#C9C9C9	1	15	-1	0.875	1.125	12.5	17.5
#808080	1.25	10	-1	1.125	1.375	7.5	12.5
#474747	0.75	0	-1	0.625	0.875	-2.5	2.5
#626262	1	5	-1	0.875	1.125	2.5	7.5
#090909	-0.5	0	-1	-0.625	-0.375	-2.5	2.5
#1F1F1F	-0.75	0	-1	-0.875	-0.625	-2.5	2.5
#393939	-1	0	-1	-1.125	-0.875	-2.5	2.5
#B0B0B0	1.5	0	-1	1.375	1.625	-2.5	2.5
#5F5F5F	-1.25	0	-1	-1.375	-1.125	-2.5	2.5
#C9C9C9	-2	0	-1	-2.125	-1.875	-2.5	2.5
#929292	1.25	0	-1	1.125	1.375	-2.5	2.5
#6A6A6A	1	0	-1	0.875	1.125	-2.5	2.5
#C1C1C1	-1.75	0	-1	-1.875	-1.625	-2.5	2.5
#FFFFFF	2	0	-1	1.875	2.125	-2.5	2.5
#777777	-1	30	-1	-1.125	-0.875	27.5	32.5
#676767	-0.75	15	-1	-0.875	-0.625	12.5	17.5
#6D6D6D	1.25	5	-1	1.125	1.375	2.5	7.5
#FFFFFF	-3	5	-1	-3.125	-2.875	2.5	7.5
#FFFFFF	-2.5	0	-1	-2.625	-2.375	-2.5	2.5
#252525	-0.75	5	-1	-0.875	-0.625	2.5	7.5
#FFFFFF	3	5	-1	2.875	3.125	2.5	7.5
#6C6C6C	-0.5	10	-1	-0.625	-0.375	7.5	12.5
#909090	-0.25	5	-1	-0.375	-0.125	2.5	7.5
#484848	-1	10	-1	-1.125	-0.875	7.5	12.5
#565656	-1.25	5	-1	-1.375	-1.125	2.5	7.5
#E4E4E4	0.25	5	-1	0.125	0.375	2.5	7.5
#B5B5B5	-2	5	-1	-2.125	-1.875	2.5	7.5
#767676	-1.5	5	-1	-1.625	-1.375	2.5	7.5
#B5B5B5	-0.75	25	-1	-0.875	-0.625	22.5	27.5
#9E9E9E	-1.5	25	-1	-1.625	-1.375	22.5	27.5
#3E3E3E	-1	5	-1	-1.125	-0.875	2.5	7.5
#E4E4E4	-1.5	20	-1	-1.625	-1.375	17.5	22.5
#FFFFFF	-4.25	0	-1	-4.375	-4.125	-2.5	2.5
#FFFFFF	1.75	0	-1	1.625	1.875	-2.5	2.5
