fill	x	y	group	xmin	xmax	ymin	ymax
#F7EDEB	80	24	-1	55	105	-1	49
#F1DFDC	130	24	-1	105	155	-1	49
#F9F0EF	130	74	-1	105	155	49	99
#FBFBFD	180	74	-1	155	205	49	99
#FCF9F8	180	124	-1	155	205	99	149
#EAE7F4	230	124	-1	205	255	99	149
#E9E6F3	230	174	-1	205	255	149	199
#F3F2F9	280	174	-1	255	305	149	199
#FBFBFD	280	224	-1	255	305	199	249
#FDFBFA	330	224	-1	305	355	199	249
#FEFCFC	330	274	-1	305	355	249	299
#F8F7FB	380	274	-1	355	405	249	299
#FBFBFD	380	324	-1	355	405	299	349
#DDB8B3	430	324	-1	405	455	299	349
#EDD6D3	430	374	-1	405	455	349	399
#EBD2CF	480	374	-1	455	505	349	399
#F1EFF7	480	424	-1	455	505	399	449
#E7CBC8	530	424	-1	505	555	399	449
#ECD5D2	530	474	-1	505	555	449	499
#EDD7D5	580	474	-1	555	605	449	499
#F0DDDA	580	524	-1	555	605	499	549
#F1DFDC	630	524	-1	605	655	499	549
#D1A19B	630	574	-1	605	655	549	599
#BE8079	680	574	-1	655	705	549	599
#DAB2AC	680	624	-1	655	705	599	649
#DFBAB5	730	624	-1	705	755	599	649
#EED9D6	730	674	-1	705	755	649	699
#E9CECB	780	674	-1	755	805	649	699
#EDD7D4	780	724	-1	755	805	699	749
#F9F2F1	830	724	-1	805	855	699	749
#B0A6D4	830	774	-1	805	855	749	799
#8277BB	880	774	-1	855	905	749	799
#7F75BA	880	824	-1	855	905	799	849
#DFDBEE	930	824	-1	905	955	799	849
#FDFDFE	930	874	-1	905	955	849	899
#DDD9ED	980	874	-1	955	1005	849	899
#9E93CA	980	924	-1	955	1005	899	949
#948AC5	1030	924	-1	1005	1055	899	949
#8D83C1	1030	974	-1	1005	1055	949	999
#8C82C1	1080	974	-1	1055	1105	949	999
#8B81C0	1080	1024	-1	1055	1105	999	1049
#8B81C0	1130	1024	-1	1105	1155	999	1049
#796FB6	1130	1074	-1	1105	1155	1049	1099
#6E64B0	1180	1074	-1	1155	1205	1049	1099
#5952A6	1180	1124	-1	1155	1205	1099	1149
#766CB5	1230	1124	-1	1205	1255	1099	1149
#4D48A0	1230	1174	-1	1205	1255	1149	1199
#504AA1	1280	1174	-1	1255	1305	1149	1199
#4B469F	1280	1224	-1	1255	1305	1199	1249
#7F75BA	1330	1224	-1	1305	1355	1199	1249
#766CB5	1330	1274	-1	1305	1355	1249	1299
#F8F7FB	1380	1274	-1	1355	1405	1249	1299
#FCFCFD	1380	1324	-1	1355	1405	1299	1349
#CFC9E5	1430	1324	-1	1405	1455	1299	1349
#968BC6	1430	1374	-1	1405	1455	1349	1399
#A197CC	1480	1374	-1	1455	1505	1349	1399
#9489C5	1480	1424	-1	1455	1505	1399	1449
#A298CC	1530	1424	-1	1505	1555	1399	1449
#8A80BF	1530	1474	-1	1505	1555	1449	1499
#CEC8E4	1580	1474	-1	1555	1605	1449	1499
#D8D3EA	1580	1524	-1	1555	1605	1499	1549
#D6D1E9	1630	1524	-1	1605	1655	1499	1549
#BEB6DB	1630	1574	-1	1605	1655	1549	1599
#9E94CA	1680	1574	-1	1655	1705	1549	1599
#A89FD0	1680	1624	-1	1655	1705	1599	1649
#ADA3D2	1730	1624	-1	1705	1755	1599	1649
#9D93CA	1730	1674	-1	1705	1755	1649	1699
#7C72B8	1780	1674	-1	1755	1805	1649	1699
#9187C3	1780	1724	-1	1755	1805	1699	1749
#B6ADD7	1830	1724	-1	1805	1855	1699	1749
#D7D2E9	1830	1774	-1	1805	1855	1749	1799
#BFB7DC	1880	1774	-1	1855	1905	1749	1799
#A096CB	1880	1824	-1	1855	1905	1799	1849
#C1B9DD	1930	1824	-1	1905	1955	1799	1849
#B7AFD8	1930	1874	-1	1905	1955	1849	1899
#A399CD	1980	1874	-1	1955	2005	1849	1899
#685FAD	1980	1924	-1	1955	2005	1899	1949
#EEECF6	180	24	-1	155	205	-1	49
#E5E1F1	280	124	-1	255	305	99	149
#E7CAC6	380	224	-1	355	405	199	249
#EBD4D1	480	324	-1	455	505	299	349
#E3C2BE	580	424	-1	555	605	399	449
#DCB6B1	680	524	-1	655	705	499	549
#F2E3E0	780	624	-1	755	805	599	649
#C6BFE0	880	724	-1	855	905	699	749
#FDFBFB	980	824	-1	955	1005	799	849
#A79ECF	1080	924	-1	1055	1105	899	949
#A89FD0	1180	1024	-1	1155	1205	999	1049
#9E93CA	1280	1124	-1	1255	1305	1099	1149
#A49ACD	1380	1224	-1	1355	1405	1199	1249
#A197CC	1480	1324	-1	1455	1505	1299	1349
#9C92C9	1580	1424	-1	1555	1605	1399	1449
#B0A7D4	1680	1524	-1	1655	1705	1499	1549
#A79DCF	1780	1624	-1	1755	1805	1599	1649
#D0CAE6	1880	1724	-1	1855	1905	1699	1749
#B7AED8	1980	1824	-1	1955	2005	1799	1849
#E1DDEF	230	74	-1	205	255	49	99
#F6EBEA	330	174	-1	305	355	149	199
#E9CECB	430	274	-1	405	455	249	299
#F3E4E2	530	374	-1	505	555	349	399
#F5E7E6	630	474	-1	605	655	449	499
#E5C6C2	730	574	-1	705	755	549	599
#EDD7D4	830	674	-1	805	855	649	699
#C8C1E1	930	774	-1	905	955	749	799
#B1A8D5	1030	874	-1	1005	1055	849	899
#A69CCF	1130	974	-1	1105	1155	949	999
#948AC5	1230	1074	-1	1205	1255	1049	1099
#968BC6	1330	1174	-1	1305	1355	1149	1199
#FDFDFE	1430	1274	-1	1405	1455	1249	1299
#A99FD0	1530	1374	-1	1505	1555	1349	1399
#A49BCE	1730	1574	-1	1705	1755	1549	1599
#968CC6	1830	1674	-1	1805	1855	1649	1699
#B1A8D4	1930	1774	-1	1905	1955	1749	1799
#CDC6E4	1630	1474	-1	1605	1655	1449	1499
#958AC5	2030	1874	-1	2005	2055	1849	1899
#FDFDFE	230	24	-1	205	255	-1	49
#E2DEEF	280	74	-1	255	305	49	99
#F6F5FA	330	124	-1	305	355	99	149
#E8CDCA	380	174	-1	355	405	149	199
#E5C6C2	430	224	-1	405	455	199	249
#D8ADA7	480	274	-1	455	505	249	299
#E8CCC8	530	324	-1	505	555	299	349
#E1BEBA	580	374	-1	555	605	349	399
#E9CECB	630	424	-1	605	655	399	449
#F2E3E0	680	474	-1	655	705	449	499
#CC9892	730	524	-1	705	755	499	549
#EBD2CF	780	574	-1	755	805	549	599
#EFDBD8	830	624	-1	805	855	599	649
#FEFDFD	880	674	-1	855	905	649	699
#BEB6DB	930	724	-1	905	955	699	749
#FEFDFE	980	774	-1	955	1005	749	799
#F0EEF7	1030	824	-1	1005	1055	799	849
#B3AAD6	1080	874	-1	1055	1105	849	899
#B2A9D5	1130	924	-1	1105	1155	899	949
#B2AAD5	1180	974	-1	1155	1205	949	999
#AAA0D1	1230	1024	-1	1205	1255	999	1049
#B7AED8	1280	1074	-1	1255	1305	1049	1099
#A89FD0	1330	1124	-1	1305	1355	1099	1149
#AFA6D4	1380	1174	-1	1355	1405	1149	1199
#FEFCFC	1430	1224	-1	1405	1455	1199	1249
#CAC3E2	1480	1274	-1	1455	1505	1249	1299
#A79ECF	1530	1324	-1	1505	1555	1299	1349
#ABA2D1	1580	1374	-1	1555	1605	1349	1399
#C9C2E2	1630	1424	-1	1605	1655	1399	1449
#C3BCDF	1680	1474	-1	1655	1705	1449	1499
#A096CB	1730	1524	-1	1705	1755	1499	1549
#B0A7D4	1780	1574	-1	1755	1805	1549	1599
#9A90C8	1830	1624	-1	1805	1855	1599	1649
#AEA5D3	1880	1674	-1	1855	1905	1649	1699
#C9C2E1	1930	1724	-1	1905	1955	1699	1749
#BFB7DC	1980	1774	-1	1955	2005	1749	1799
#ADA3D2	2030	1824	-1	2005	2055	1799	1849
#F6F5FA	280	24	-1	255	305	-1	49
#F7EDEC	380	124	-1	355	405	99	149
#E1C0BB	480	224	-1	455	505	199	249
#EFDCDA	580	324	-1	555	605	299	349
#EFDCD9	680	424	-1	655	705	399	449
#E9CECA	780	524	-1	755	805	499	549
#EED8D5	880	624	-1	855	905	599	649
#EBE8F4	980	724	-1	955	1005	699	749
#B7AED8	1180	924	-1	1155	1205	899	949
#A298CC	1280	1024	-1	1255	1305	999	1049
#ACA2D2	1380	1124	-1	1355	1405	1099	1149
#FAF4F3	1480	1224	-1	1455	1505	1199	1249
#A99FD0	1580	1324	-1	1555	1605	1299	1349
