x	y	group	showSelected1
65.25	4.25	27	3644
65.25	4.75	27	3644
65.75	4.75	27	3644
65.75	4.25	27	3644
65.25	4.25	27	3644
71.75	10.75	28	3644
71.75	11.25	28	3644
72.25	11.25	28	3644
72.25	10.75	28	3644
71.75	10.75	28	3644
61.75	-0.25	18	3013
61.75	0.25	18	3013
62.25	0.75	18	3013
64.25	0.75	18	3013
65.75	2.25	18	3013
66.25	2.25	18	3013
66.75	1.75	18	3013
67.25	1.75	18	3013
70.75	5.25	18	3013
71.25	5.25	18	3013
74.25	2.25	18	3013
74.75	2.25	18	3013
76.25	3.75	18	3013
76.25	4.25	18	3013
75.75	4.75	18	3013
75.75	5.25	18	3013
76.25	5.25	18	3013
76.75	4.75	18	3013
77.25	4.75	18	3013
79.25	6.75	18	3013
80.25	6.75	18	3013
80.75	7.25	18	3013
81.25	7.25	18	3013
85.25	3.25	18	3013
87.25	3.25	18	3013
88.25	2.25	18	3013
89.25	2.25	18	3013
89.75	1.75	18	3013
90.25	1.75	18	3013
92.25	3.75	18	3013
92.25	4.25	18	3013
91.75	4.75	18	3013
91.75	5.25	18	3013
92.25	5.25	18	3013
96.25	1.25	18	3013
96.25	0.75	18	3013
66.25	0.75	18	3013
65.25	-0.25	18	3013
61.75	-0.25	18	3013
62.75	0.75	45	5423
62.75	1.25	45	5423
75.75	14.25	45	5423
76.25	14.25	45	5423
76.25	13.75	45	5423
71.25	8.75	45	5423
71.25	8.25	45	5423
72.25	7.25	45	5423
72.75	7.25	45	5423
77.75	12.25	45	5423
78.25	12.25	45	5423
86.75	3.75	45	5423
86.75	3.25	45	5423
85.25	3.25	45	5423
81.25	7.25	45	5423
80.75	7.25	45	5423
80.25	6.75	45	5423
79.25	6.75	45	5423
77.25	4.75	45	5423
76.75	4.75	45	5423
76.25	5.25	45	5423
75.75	5.25	45	5423
75.75	4.75	45	5423
76.25	4.25	45	5423
76.25	3.75	45	5423
74.75	2.25	45	5423
74.25	2.25	45	5423
71.25	5.25	45	5423
70.75	5.25	45	5423
67.25	1.75	45	5423
66.75	1.75	45	5423
66.25	2.25	45	5423
65.75	2.25	45	5423
64.25	0.75	45	5423
62.75	0.75	45	5423
76.25	14.25	26	3547
76.25	14.75	26	3547
79.75	18.25	26	3547
80.25	18.25	26	3547
