x	y	group
1865.25	91.25	53873
1865.25	91.75	53873
1866.25	92.75	53873
1866.75	92.75	53873
1866.75	91.75	53873
1867.75	90.75	53873
1868.75	90.75	53873
1868.75	90.25	53873
1868.25	89.75	53873
1868.25	89.25	53873
1868.75	88.75	53873
1869.25	88.75	53873
1869.25	89.75	53873
1869.75	89.75	53873
1870.75	88.75	53873
1870.75	87.75	53873
1872.25	87.75	53873
1872.25	89.75	53873
1872.75	90.25	53873
1872.75	91.25	53873
1873.25	91.25	53873
1873.75	90.75	53873
1873.75	90.25	53873
1873.25	89.75	53873
1873.25	89.25	53873
1875.25	89.25	53873
1876.75	87.75	53873
1876.75	85.75	53873
1877.25	85.75	53873
1878.25	86.75	53873
1878.75	86.75	53873
1879.25	86.25	53873
1879.25	85.25	53873
1879.75	84.75	53873
1879.75	83.75	53873
1880.25	83.25	53873
1881.25	83.25	53873
1881.75	82.75	53873
1881.75	82.25	53873
1880.75	82.25	53873
1880.75	81.75	53873
1882.25	80.25	53873
1882.75	80.25	53873
1883.75	81.25	53873
1884.25	81.25	53873
1884.25	80.25	53873
1884.75	79.75	53873
1884.75	79.25	53873
1884.25	78.75	53873
1884.25	78.25	53873
1884.75	77.75	53873
1885.25	77.75	53873
1885.75	78.25	53873
1886.25	78.25	53873
1887.75	76.75	53873
1887.75	75.75	53873
1888.75	75.75	53873
1889.25	75.25	53873
1889.25	73.25	53873
1889.75	72.75	53873
1889.75	72.25	53873
1888.75	72.25	53873
1888.75	69.75	53873
1889.75	69.75	53873
1889.75	68.75	53873
1890.75	68.75	53873
1891.25	68.25	53873
1891.75	68.25	53873
1892.75	69.25	53873
1893.25	69.25	53873
1893.75	68.75	53873
1893.75	67.75	53873
1894.75	67.75	53873
1894.75	66.75	53873
1895.25	66.25	53873
1895.25	65.75	53873
1894.75	65.75	53873
1893.75	66.75	53873
1893.25	66.75	53873
1893.25	65.75	53873
1892.75	65.25	53873
1892.75	64.75	53873
1893.25	64.25	53873
1893.75	64.25	53873
1894.25	64.75	53873
1894.75	64.75	53873
1894.75	64.25	53873
1894.25	63.75	53873
1894.25	63.25	53873
1894.75	63.25	53873
1895.75	64.25	53873
1896.25	64.25	53873
1896.75	63.75	53873
1896.75	63.25	53873
1896.25	62.75	53873
1896.25	62.25	53873
1896.75	62.25	53873
1897.75	63.25	53873
1897.75	63.75	53873
1897.25	64.25	53873
1897.25	64.75	53873
1897.75	64.75	53873
1898.25	64.25	53873
1900.25	64.25	53873
1900.25	62.25	53873
1901.75	60.75	53873
1902.75	60.75	53873
1902.75	60.25	53873
1902.25	59.75	53873
1902.25	59.25	53873
1902.75	59.25	53873
1903.25	59.75	53873
1903.75	59.75	53873
1904.25	59.25	53873
1904.25	58.75	53873
1903.75	58.25	53873
1903.75	57.75	53873
1904.75	57.75	53873
1905.25	57.25	53873
1906.25	57.25	53873
1907.25	56.25	53873
1907.25	53.75	53873
1906.75	53.75	53873
1906.25	54.25	53873
1905.75	54.25	53873
1905.75	53.75	53873
1906.25	53.25	53873
1906.25	52.75	53873
1905.75	52.75	53873
1905.25	53.25	53873
1904.75	53.25	53873
1904.25	52.75	53873
1904.25	51.25	53873
1904.75	51.25	53873
1905.25	51.75	53873
1905.75	51.75	53873
1905.75	51.25	53873
1905.25	50.75	53873
1905.25	49.75	53873
1904.75	49.25	53873
1904.75	48.25	53873
1904.25	47.75	53873
1904.25	46.25	53873
1905.25	45.25	53873
1905.25	44.75	53873
1904.75	44.25	53873
1904.75	43.75	53873
1905.75	43.75	53873
1905.75	43.25	53873
1905.25	42.75	53873
1905.25	42.25	53873
1905.75	42.25	53873
1906.25	42.75	53873
1906.75	42.75	53873
1907.25	42.25	53873
1907.25	41.75	53873
1906.25	40.75	53873
1906.25	39.75	53873
1905.75	39.25	53873
1905.25	39.25	53873
1903.75	40.75	53873
1903.75	41.75	53873
1903.25	42.25	53873
1903.25	43.25	53873
1902.25	43.25	53873
1900.75	44.75	53873
1899.25	44.75	53873
1898.75	44.25	53873
1898.75	43.25	53873
1896.75	41.25	53873
1896.75	40.75	53873
1897.25	40.25	53873
1897.75	40.25	53873
1899.25	41.75	53873
1899.75	41.75	53873
1899.75	40.75	53873
1900.75	39.75	53873
1900.75	39.25	53873
1898.75	37.25	53873
1898.25	37.25	53873
1897.25	38.25	53873
1896.25	38.25	53873
1896.25	39.25	53873
1895.75	39.25	53873
1894.25	37.75	53873
1894.25	36.75	53873
1893.25	35.75	53873
1892.25	35.75	53873
1891.75	35.25	53873
1891.75	34.25	53873
1890.75	34.25	53873
1890.75	32.75	53873
1891.25	32.25	53873
1892.25	32.25	53873
1892.25	31.75	53873
1891.75	31.25	53873
1891.25	31.25	53873
1890.75	31.75	53873
1890.25	31.75	53873
1889.25	30.75	53873
1888.75	30.75	53873
1887.75	31.75	53873
1887.25	31.75	53873
1887.25	30.75	53873
1886.75	30.75	53873
1884.75	32.75	53873
1884.25	32.75	53873
1884.25	31.75	53873
1883.75	31.75	53873
1883.25	32.25	53873
1883.25	34.25	53873
1882.75	34.75	53873
1882.75	35.25	53873
1883.25	35.25	53873
1883.75	34.75	53873
1884.25	34.75	53873
1886.75	37.25	53873
1886.75	38.25	53873
1887.25	38.75	53873
1887.75	38.75	53873
1887.75	36.75	53873
1888.25	36.25	53873
1888.25	35.75	53873
1887.75	35.25	53873
1886.75	35.25	53873
1886.75	34.75	53873
1887.75	33.75	53873
1888.25	33.75	53873
1889.25	34.75	53873
1889.25	36.25	53873
1888.75	36.75	53873
1888.75	38.25	53873
1889.75	38.25	53873
1889.75	39.25	53873
1891.25	40.75	53873
1891.25	41.25	53873
1890.75	41.25	53873
1889.75	40.25	53873
1889.25	40.25	53873
1889.25	40.75	53873
1890.25	41.75	53873
1890.25	42.75	53873
1891.25	42.75	53873
1891.75	43.25	53873
1891.75	44.25	53873
1893.25	44.25	53873
1893.75	43.75	53873
1895.25	43.75	53873
1895.75	44.25	53873
1895.75	45.25	53873
1896.75	46.25	53873
1896.75	47.25	53873
1897.75	48.25	53873
1897.75	49.75	53873
1895.75	51.75	53873
1895.75	52.25	53873
1896.25	52.75	53873
1896.25	53.25	53873
1895.75	53.75	53873
1895.75	55.75	53873
1895.25	55.75	53873
1894.75	55.25	53873
1894.25	55.25	53873
1894.25	55.75	53873
1895.25	56.75	53873
1895.25	57.25	53873
1894.75	57.75	53873
1894.75	59.75	53873
1894.25	59.75	53873
1893.75	59.25	53873
1893.75	57.75	53873
1894.25	57.25	53873
1894.25	56.75	53873
1893.75	56.75	53873
1892.25	58.25	53873
1891.25	58.25	53873
1891.25	59.25	53873
1890.75	59.75	53873
1890.75	60.25	53873
1891.25	60.75	53873
1891.25	62.25	53873
1889.75	62.25	53873
1889.75	61.25	53873
1889.25	61.25	53873
1888.75	61.75	53873
1888.75	62.75	53873
1887.75	63.75	53873
1886.75	63.75	53873
1886.25	64.25	53873
1885.25	64.25	53873
1885.25	64.75	53873
1885.75	65.25	53873
1886.75	65.25	53873
1887.25	65.75	53873
1887.25	66.75	53873
1888.25	66.75	53873
1888.75	67.25	53873
1888.75	67.75	53873
1888.25	68.25	53873
1888.25	69.25	53873
1887.75	69.75	53873
