x	y	group
1551.75	407.75	84042
1551.75	408.25	84042
1552.25	408.75	84042
1552.75	408.75	84042
1552.75	406.75	84042
1553.25	406.75	84042
1553.75	407.25	84042
1554.25	407.25	84042
1554.25	406.75	84042
1553.75	406.25	84042
1553.75	405.75	84042
1554.25	405.75	84042
1555.75	407.25	84042
1556.25	407.25	84042
1556.25	406.25	84042
1557.75	406.25	84042
1557.75	407.25	84042
1559.25	407.25	84042
1559.25	406.75	84042
1558.25	405.75	84042
1558.25	404.75	84042
1557.25	403.75	84042
1556.75	403.75	84042
1556.75	404.75	84042
1556.25	405.25	84042
1555.75	405.25	84042
1555.25	404.75	84042
1554.25	404.75	84042
1553.25	403.75	84042
1553.25	402.75	84042
1552.25	401.75	84042
1551.75	401.75	84042
1550.75	402.75	84042
1550.75	403.25	84042
1551.75	403.25	84042
1551.75	404.75	84042
1551.25	404.75	84042
1550.75	404.25	84042
1550.25	404.25	84042
1550.25	405.75	84042
1551.75	407.25	84042
1551.75	407.75	84042
