x	y	group
3080.75	368.75	76612
3080.75	369.25	76612
3081.75	370.25	76612
3082.25	370.25	76612
3082.25	369.75	76612
3081.75	369.25	76612
3081.75	368.75	76612
3082.25	368.75	76612
3083.25	369.75	76612
3083.75	369.75	76612
3083.75	367.75	76612
3084.25	367.75	76612
3084.75	368.25	76612
3085.25	368.25	76612
3085.75	367.75	76612
3086.25	367.75	76612
3087.25	368.75	76612
3087.75	368.75	76612
3087.75	368.25	76612
3086.75	367.25	76612
3086.75	366.75	76612
3087.25	366.75	76612
3087.75	367.25	76612
3088.25	367.25	76612
3088.25	365.75	76612
3087.75	365.25	76612
3087.25	365.25	76612
3086.75	365.75	76612
3086.25	365.75	76612
3085.75	365.25	76612
3085.75	364.75	76612
3086.25	364.25	76612
3087.25	364.25	76612
3087.75	363.75	76612
3087.75	362.75	76612
3088.75	362.75	76612
3088.75	361.75	76612
3089.25	361.75	76612
3089.75	362.25	76612
3090.25	362.25	76612
3091.25	361.25	76612
3091.25	360.75	76612
3090.75	360.25	76612
3090.75	359.75	76612
3093.25	359.75	76612
3093.75	360.25	76612
3094.25	360.25	76612
3095.25	359.25	76612
3097.75	359.25	76612
3098.75	360.25	76612
3098.75	361.25	76612
3099.75	361.25	76612
3099.75	361.75	76612
3098.25	363.25	76612
3098.25	364.25	76612
3097.25	364.25	76612
3097.25	365.75	76612
3098.25	365.75	76612
3098.75	366.25	76612
3100.25	366.25	76612
3101.25	365.25	76612
3103.25	365.25	76612
3103.25	364.75	76612
3102.25	363.75	76612
3102.25	363.25	76612
3105.25	360.25	76612
3106.25	360.25	76612
3107.25	359.25	76612
3107.25	356.75	76612
3106.25	355.75	76612
3105.25	355.75	76612
3104.25	354.75	76612
3104.25	354.25	76612
3104.75	354.25	76612
3105.25	354.75	76612
3107.25	354.75	76612
3107.25	355.75	76612
3107.75	356.25	76612
3108.25	356.25	76612
3108.25	355.25	76612
3109.25	355.25	76612
3109.75	354.75	76612
3110.75	354.75	76612
3110.75	354.25	76612
3110.25	353.75	76612
3109.75	353.75	76612
3109.25	354.25	76612
3108.75	354.25	76612
3108.25	353.75	76612
3108.25	353.25	76612
3108.75	352.75	76612
3108.75	352.25	76612
3108.25	352.25	76612
3107.25	353.25	76612
3105.75	353.25	76612
3104.75	352.25	76612
3104.75	351.75	76612
3105.75	351.75	76612
3105.75	351.25	76612
3104.75	350.25	76612
3104.75	349.75	76612
3105.25	349.75	76612
3105.75	350.25	76612
3106.75	350.25	76612
3107.25	350.75	76612
3107.75	350.75	76612
3107.75	350.25	76612
3106.75	349.25	76612
3106.75	348.75	76612
3107.25	348.25	76612
3107.25	347.75	76612
3106.25	346.75	76612
3106.25	346.25	76612
3106.75	345.75	76612
3106.75	345.25	76612
3106.25	344.75	76612
3105.25	344.75	76612
3104.25	343.75	76612
3103.75	343.75	76612
3103.75	347.75	76612
3100.75	347.75	76612
3100.75	348.75	76612
3099.75	349.75	76612
3099.75	351.75	76612
3099.25	351.75	76612
3098.75	351.25	76612
3096.75	351.25	76612
3096.75	348.75	76612
3097.25	348.25	76612
3097.25	347.75	76612
3096.75	347.75	76612
3095.25	349.25	76612
3094.75	349.25	76612
3094.25	348.75	76612
3094.25	345.25	76612
3094.75	344.75	76612
3094.75	344.25	76612
3093.75	343.25	76612
3093.75	342.75	76612
3094.25	342.25	76612
3094.25	341.75	76612
3093.25	340.75	76612
3093.25	340.25	76612
3094.25	340.25	76612
3094.25	339.25	76612
3094.75	338.75	76612
3095.25	338.75	76612
3095.25	339.75	76612
3095.75	340.25	76612
3096.75	340.25	76612
3097.75	341.25	76612
3098.25	341.25	76612
3098.25	340.75	76612
3097.75	340.25	76612
3097.75	339.25	76612
3096.75	338.25	76612
3096.75	336.75	76612
3097.25	336.25	76612
3097.75	336.25	76612
3098.25	336.75	76612
3098.75	336.75	76612
3099.25	336.25	76612
3099.25	335.75	76612
3098.75	335.25	76612
3098.75	334.75	76612
3099.25	334.25	76612
3099.25	333.25	76612
3100.25	333.25	76612
3100.75	332.75	76612
3101.75	332.75	76612
3103.25	331.25	76612
3103.25	330.75	76612
3102.25	330.75	76612
3102.25	330.25	76612
3102.75	329.75	76612
3102.75	329.25	76612
3102.25	329.25	76612
3101.75	329.75	76612
3101.25	329.75	76612
3101.25	328.75	76612
3100.75	328.25	76612
3100.25	328.25	76612
3096.25	332.25	76612
3096.25	333.25	76612
3094.25	335.25	76612
3093.25	335.25	76612
3092.25	336.25	76612
3092.25	337.25	76612
3091.75	337.25	76612
3091.25	336.75	76612
3091.25	336.25	76612
3091.75	335.75	76612
3091.75	335.25	76612
3090.75	334.25	76612
3089.75	334.25	76612
3089.75	333.75	76612
3090.25	333.25	76612
3090.75	333.25	76612
3091.25	333.75	76612
3091.75	333.75	76612
3092.25	333.25	76612
3092.25	332.75	76612
3091.75	332.25	76612
3090.75	332.25	76612
3090.25	331.75	76612
3089.75	331.75	76612
3089.25	332.25	76612
3087.25	332.25	76612
3087.25	333.75	76612
3087.75	333.75	76612
3088.25	333.25	76612
3088.75	333.25	76612
3088.75	333.75	76612
3088.25	334.25	76612
3088.25	334.75	76612
3089.25	334.75	76612
3089.25	335.25	76612
3088.75	335.75	76612
3088.75	336.25	76612
