x	y	group
2975.25	470.25	54228
2975.25	470.75	54228
2975.75	470.75	54228
2976.25	470.25	54228
2976.75	470.25	54228
2977.75	471.25	54228
2978.25	471.25	54228
2979.25	470.25	54228
2979.25	468.75	54228
2978.25	468.75	54228
2977.75	468.25	54228
2977.25	468.25	54228
2977.25	469.25	54228
2976.75	469.25	54228
2976.25	468.75	54228
2976.25	467.75	54228
2975.25	466.75	54228
2975.25	466.25	54228
2976.25	466.25	54228
2976.75	465.75	54228
2976.75	465.25	54228
2975.75	465.25	54228
2975.25	464.75	54228
2975.25	463.75	54228
2974.75	463.25	54228
2974.25	463.25	54228
2973.75	463.75	54228
2971.75	463.75	54228
2971.75	465.25	54228
2973.75	467.25	54228
2974.75	467.25	54228
2974.75	468.25	54228
2975.75	469.25	54228
2975.75	469.75	54228
2975.25	470.25	54228
